"range","area","pt","brte","nsamp","elev","pgraze","tburn","pgrassf","sppr","wtpr","propwtr","tburn2","hillshade","medwtpcp","medsppcp","medpropwtr"
"Toiyabe","Grass Springs","GSSG05",22,31,2097,0.833333333,5,0.952380952380952,118,262,0.689473684210526,25,201,182,73,0.713725490196078
"Toiyabe","Grass Springs","GSSG06",27,31,2099,0.833333333,5,0.476190476190476,118,262,0.689473684210526,25,203,182,73,0.713725490196078
"Toiyabe","Grass Springs","GSSG07",30,31,2099,0.833333333,5,0.666666666666667,118,262,0.689473684210526,25,201,182,73,0.713725490196078
"Toiyabe","Grass Springs","GSSG08",31,31,2104,0.833333333,5,0.333333333333333,118,262,0.689473684210526,25,200,182,73,0.713725490196078
"Toiyabe","Grass Springs","GSSG09",30,31,2112,0.833333333,5,0.523809523809524,118,262,0.689473684210526,25,187,182,73,0.713725490196078
"Toiyabe","Grass Springs","GSSG10",27,31,2109,0.833333333,5,0.571428571428571,118,262,0.689473684210526,25,204,182,73,0.713725490196078
"Toiyabe","Grass Springs","GSSG11",31,31,2117,0.833333333,5,0.238095238095238,118,262,0.689473684210526,25,186,182,73,0.713725490196078
"Toiyabe","Grass Springs","GSSG12",30,31,2110,0.833333333,5,0.19047619047619,118,262,0.689473684210526,25,196,182,73,0.713725490196078
"Shoshone","Underdown","UN02.2",27,31,2147,1,9,0.904761904761905,104,303,0.744471744471744,81,220,152,81.5,0.721988165680473
"Shoshone","Underdown","UN03.1",28,31,2207,1,9,0.619047619047619,104,303,0.744471744471744,81,213,152,81.5,0.721988165680473
"Shoshone","Underdown","UN03.2",23,31,2246,1,6,0.523809523809524,104,303,0.744471744471744,36,210,152,81.5,0.721988165680473
"Shoshone","Underdown","UN0B1",31,31,2083,1,6,0.952380952380952,60,190,0.76,36,183,104,60,0.68780487804878
"Shoshone","Underdown","UN0B2",30,31,2129,1,6,0.80952380952381,104,303,0.744471744471744,36,191,175,85,0.728
"Shoshone","Underdown","UN0B3",30,31,2135,1,6,0.523809523809524,104,303,0.744471744471744,36,188,175,85,0.728
"Shoshone","Underdown","UN0B4",31,31,2137,1,6,0.285714285714286,104,303,0.744471744471744,36,206,175,85,0.728
"Shoshone","Underdown","UN0B5",28,31,2231,1,6,0.285714285714286,104,303,0.744471744471744,36,198,175,85,0.728
"Shoshone","Underdown","UN0B6",29,31,2245,1,6,0.666666666666667,104,303,0.744471744471744,36,193,175,85,0.728
"Shoshone","Underdown","UN0B7",27,31,2259,1,6,0.523809523809524,104,303,0.744471744471744,36,203,175,85,0.728
"Toiyabe","Wall","WA03.1",17,31,2151,1,10,0.380952380952381,101,243,0.706395348837209,100,202,109,67,0.695488721804511
"Toiyabe","Wall","WA03.2",29,31,2201,1,10,0.285714285714286,101,243,0.706395348837209,100,231,119.5,74,0.68984962406015
"Toiyabe","Wall","WA04.2",31,31,2303,1,10,0.142857142857143,142,323,0.694623655913978,100,199,148,102,0.694623655913978
"Toiyabe","Wall","WA05.1",29,31,2356,1,10,0.333333333333333,142,323,0.694623655913978,100,193,160,95.5,0.681942178151542
"Toiyabe","Wall","WA05.2",29,31,2414,1,10,0.19047619047619,142,323,0.694623655913978,100,223,148,102,0.694623655913978
"Toiyabe","Wall","WA06.1",22,31,2405,1,10,0.0952380952380952,142,323,0.694623655913978,100,237,160,95.5,0.681942178151542
"Toiyabe","Wall","WA0B1",31,31,2174,1,10,0.0952380952380952,101,243,0.706395348837209,100,214,133,81,0.695488721804511
"Toiyabe","Wall","WA0B2",28,31,2212,1,10,0.19047619047619,142,323,0.694623655913978,100,172,183,102,0.694623655913978
"Toiyabe","Wall","WA0B3",28,31,2227,1,10,0.0476190476190476,142,323,0.694623655913978,100,228,183,102,0.694623655913978
"Toiyabe","Wall","WA0B4",27,31,2263,1,10,0.238095238095238,142,323,0.694623655913978,100,236,183,102,0.694623655913978
"Toiyabe","Wall","WA0B5",26,31,2267,1,10,0.0952380952380952,142,323,0.694623655913978,100,216,183,102,0.694623655913978
"Toiyabe","Wall","WA0B6",27,31,2321,1,10,0.0952380952380952,142,323,0.694623655913978,100,190,183,102,0.694623655913978
"Toiyabe","Wall","WA0B7",22,31,2372,1,10,0.142857142857143,142,323,0.694623655913978,100,197,183,102,0.694623655913978
"Toiyabe","Wall","WASG01",29,31,2191,1,10,0.285714285714286,101,243,0.706395348837209,100,202,130,60,0.706395348837209
"Toiyabe","Wall","WASG02",31,31,2203,1,10,0.333333333333333,101,243,0.706395348837209,100,221,130,60,0.706395348837209
"Toiyabe","Wall","WASG03",29,31,2192,1,10,0.428571428571429,101,243,0.706395348837209,100,203,130,60,0.706395348837209
"Toiyabe","Wall","WASG04",28,31,2198,1,10,0.285714285714286,101,243,0.706395348837209,100,159,130,60,0.706395348837209
"Toiyabe","Wall","WASG05",30,31,2207,1,10,0.285714285714286,101,243,0.706395348837209,100,202,130,60,0.706395348837209
"Toiyabe","Wall","WASG06",30,31,2206,1,10,0.238095238095238,101,243,0.706395348837209,100,212,130,60,0.706395348837209
"Toiyabe","Wall","WASG07",31,31,2208,1,10,0.0476190476190476,101,243,0.706395348837209,100,171,130,60,0.706395348837209
"Toiyabe","Wall","WASG08",30,31,2214,1,10,0.380952380952381,101,243,0.706395348837209,100,169,130,60,0.706395348837209
"Toiyabe","Wall","WASG09",31,31,2243,1,10,0.142857142857143,142,323,0.694623655913978,100,211,172,85,0.694623655913978
"Toiyabe","Wall","WASG10",30,31,2265,1,10,0.238095238095238,142,323,0.694623655913978,100,192,172,85,0.694623655913978
"Toiyabe","Wall","WASG11",29,31,2254,1,10,0.333333333333333,142,323,0.694623655913978,100,212,172,85,0.694623655913978
"Toiyabe","Wall","WASG12",30,31,2268,1,10,0.238095238095238,142,323,0.694623655913978,100,175,172,85,0.694623655913978
"Toiyabe","Birch","BI0B1",21,31,1900,0.857142857,5,0.0952380952380952,36,105,0.74468085106383,25,206,132,60,0.720588235294118
"Toiyabe","Birch","BI0B2",16,31,1920,0.857142857,5,0.380952380952381,36,105,0.74468085106383,25,205,132,60,0.720588235294118
"Toiyabe","Birch","BI0B3",27,31,1929,0.857142857,5,0.0476190476190476,36,105,0.74468085106383,25,208,132,60,0.720588235294118
"Toiyabe","Birch","BI0B4",11,26,1960,0.857142857,5,0.6875,36,105,0.74468085106383,25,227,132,60,0.720588235294118
"Toiyabe","Birch","BI0B1",22,31,1900,0.875,6,0.0952380952380952,38,98,0.720588235294118,36,206,132,60,0.720588235294118
"Toiyabe","Birch","BI0B2",45,52,1920,0.875,6,0.19047619047619,38,98,0.720588235294118,36,205,132,60,0.720588235294118
"Toiyabe","Birch","BI0B3",26,31,1929,0.875,6,0,38,98,0.720588235294118,36,208,132,60,0.720588235294118
"Toiyabe","Birch","BI0B4",17,31,1960,0.875,6,0.380952380952381,38,98,0.720588235294118,36,227,132,60,0.720588235294118
"Toiyabe","Birch","BISG01",31,31,1923,0.875,6,0.19047619047619,38,98,0.720588235294118,36,220,164,60,0.720588235294118
