"range","area","pt","yr","occ","elev","burn","graze","hillshade","medwtpcp","medsppcp","medpropwtr"
"Toquima","Northumberland West","NW03.2","2015",0,2414,0,0,244,172,61,0.738197424892704
"Toquima","Northumberland West","NW04.1","2015",1,2446,0,0,242,172,61,0.738197424892704
"Toquima","Northumberland West","NW04.2","2013",1,2519,0,1,241,172,61,0.738197424892704
"Toquima","Northumberland West","NW05.1","2015",0,2550,0,0,195,172,61,0.738197424892704
"Toquima","Northumberland West","NW06.1","2012",1,2611,0,1,176,201,70,0.74169741697417
"Toquima","Northumberland West","NW06.2","2013",1,2687,0,1,235,201,70,0.74169741697417
"Toiyabe","Ophir","OP01.1","2006",1,1969,0,0,208,92,51,0.710227272727273
"Toiyabe","Ophir","OP01.2","2012",1,2033,0,0,161,92,51,0.710227272727273
"Toiyabe","Ophir","OP02.1","2006",1,2093,0,0,186,92,51,0.710227272727273
"Toiyabe","Ophir","OP02.2","2006",1,2167,0,0,157,92,51,0.710227272727273
"Toiyabe","Ophir","OP03.1","2012",1,2248,0,0,212,92,51,0.710227272727273
"Toiyabe","Ophir","OP03.2","2006",1,2278,0,0,193,92,51,0.710227272727273
"Toiyabe","Ophir","OP04.1","2012",1,2368,0,0,192,203,99,0.738007380073801
"Toiyabe","Ophir","OP05.1","2006",1,2415,0,0,217,203,99,0.738007380073801
"Toiyabe","Ophir","OP05.2","2014",0,2477,0,0,177,227.5,107,0.727978049011259
"Toiyabe","Ophir","OP06.1","2012",1,2558,0,0,192,201.5,85,0.727978049011259
"Toiyabe","Ophir","OP06.2","2006",1,2626,0,0,191,203,99,0.738007380073801
"Toiyabe","Ophir","OP07.1","2014",0,2688,0,0,135,203,99,0.738007380073801
"Toiyabe","Ophir","OP08.1","2014",0,2822,0,0,170,203,99,0.738007380073801
"Toiyabe","Ophir","OP09.1","2014",0,2888,0,0,155,203,99,0.738007380073801
"Toiyabe","Ophir","OP09.2","2014",0,2981,0,0,124,206,102,0.736462093862816
"Shoshone","Riley","RI01.1","2006",1,2065,0,1,217,94,57,0.709124634129739
"Shoshone","Riley","RI01.2","2006",1,2115,0,1,182,94,57,0.709124634129739
"Shoshone","Riley","RI02.1","2006",1,2147,0,1,200,94,57,0.709124634129739
